global,time,population_aged_0_14_years_total_number,total_number(in B)
world,1950,869608402,869.608M
world,1951,894525669,894.526M
world,1952,918752288,918.752M
world,1953,941848073,941.848M
world,1954,964174065,964.174M
world,1955,986623015,986.623M
world,1956,1015821282,1.016B
world,1957,1043503485,1.044B
world,1958,1071058198,1.071B
world,1959,1099156273,1.099B
world,1960,1127639029,1.128B
world,1961,1154812959,1.155B
world,1962,1183876883,1.184B
world,1963,1213303263,1.213B
world,1964,1241038926,1.241B
world,1965,1266378283,1.266B
world,1966,1295163405,1.295B
world,1967,1320460045,1.320B
world,1968,1343469277,1.343B
world,1969,1366098183,1.366B
world,1970,1389142603,1.389B
world,1971,1414505180,1.415B
world,1972,1439140782,1.439B
world,1973,1462758649,1.463B
world,1974,1484319403,1.484B
world,1975,1503115525,1.503B
world,1976,1521934957,1.522B
world,1977,1537631378,1.538B
world,1978,1550893654,1.551B
world,1979,1563009077,1.563B
world,1980,1574981432,1.575B
world,1981,1587605699,1.588B
world,1982,1601221922,1.601B
world,1983,1615549827,1.616B
world,1984,1630220955,1.630B
world,1985,1645354627,1.645B
world,1986,1666976627,1.667B
world,1987,1688474482,1.688B
world,1988,1709698720,1.710B
world,1989,1729900403,1.730B
world,1990,1748100529,1.748B
world,1991,1770363779,1.770B
world,1992,1787028985,1.787B
world,1993,1799890655,1.800B
world,1994,1811467156,1.811B
world,1995,1822874030,1.823B
world,1996,1828546508,1.829B
world,1997,1837285305,1.837B
world,1998,1846250098,1.846B
world,1999,1851407972,1.851B
world,2000,1851318508,1.851B
world,2001,1854342857,1.854B
world,2002,1851861759,1.852B
world,2003,1846301655,1.846B
world,2004,1841924869,1.842B
world,2005,1841053373,1.841B
world,2006,1843909136,1.844B
world,2007,1849740044,1.850B
world,2008,1858083508,1.858B
world,2009,1867330550,1.867B
world,2010,1876541258,1.877B
world,2011,1887867080,1.888B
world,2012,1898774879,1.899B
world,2013,1909473270,1.909B
world,2014,1920318764,1.920B
world,2015,1931325748,1.931B
world,2016,1942969092,1.943B
world,2017,1954454947,1.954B
world,2018,1965418042,1.965B
world,2019,1975272955,1.975B
world,2020,1983648626,1.984B
world,2021,1991982019,1.992B
world,2022,1998770868,1.999B
world,2023,2004050708,2.004B
world,2024,2008079049,2.008B
world,2025,2011052228,2.011B
world,2026,2014439910,2.014B
world,2027,2016953132,2.017B
world,2028,2018587238,2.019B
world,2029,2019381535,2.019B
world,2030,2019462324,2.019B
world,2031,2021260170,2.021B
world,2032,2022328828,2.022B
world,2033,2022886377,2.023B
world,2034,2023194996,2.023B
world,2035,2023398480,2.023B
world,2036,2025726662,2.026B
world,2037,2027822531,2.028B
world,2038,2029741163,2.030B
world,2039,2031469910,2.031B
world,2040,2032980868,2.033B
world,2041,2036219002,2.036B
world,2042,2039235533,2.039B
world,2043,2041948839,2.042B
world,2044,2044213669,2.044B
world,2045,2045919262,2.046B
world,2046,2049130119,2.049B
world,2047,2051691550,2.052B
world,2048,2053614853,2.054B
world,2049,2054941208,2.055B
world,2050,2055658801,2.056B
world,2051,2057608928,2.058B
world,2052,2058980788,2.059B
world,2053,2059688945,2.060B
world,2054,2059637941,2.060B
world,2055,2058780160,2.059B
world,2056,2059139150,2.059B
world,2057,2058745070,2.059B
world,2058,2057630911,2.058B
world,2059,2055872637,2.056B
world,2060,2053503765,2.054B
world,2061,2052414805,2.052B
world,2062,2050870044,2.051B
world,2063,2048815892,2.049B
world,2064,2046175112,2.046B
world,2065,2042900216,2.043B
world,2066,2041157970,2.041B
world,2067,2038872373,2.039B
world,2068,2036073873,2.036B
world,2069,2032815878,2.033B
world,2070,2029100548,2.029B
world,2071,2026936392,2.027B
world,2072,2024451490,2.024B
world,2073,2021563518,2.022B
world,2074,2018181027,2.018B
world,2075,2014256147,2.014B
world,2076,2011886686,2.012B
world,2077,2009087742,2.009B
world,2078,2005829332,2.006B
world,2079,2002077349,2.002B
world,2080,1997771732,1.998B
world,2081,1994848855,1.995B
world,2082,1991482855,1.991B
world,2083,1987658048,1.988B
world,2084,1983321145,1.983B
world,2085,1978360880,1.978B
world,2086,1974692528,1.975B
world,2087,1970652946,1.971B
world,2088,1966087865,1.966B
world,2089,1960876021,1.961B
world,2090,1954967450,1.955B
world,2091,1950526199,1.951B
world,2092,1945574914,1.946B
world,2093,1940094858,1.940B
world,2094,1934076700,1.934B
world,2095,1927483511,1.927B
world,2096,1922421021,1.922B
world,2097,1916974297,1.917B
world,2098,1911075613,1.911B
world,2099,1904665999,1.905B
world,2100,1897704615,1.898B
